name,region,width,geometry
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56868,51.38885],[0.56885,51.38882]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56885,51.38882],[0.56874,51.38857]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56885,51.38882],[0.56897,51.38874]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56886,51.38855],[0.56874,51.38828]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56874,51.38828],[0.56846,51.38832]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.56874,51.38828],[0.56904,51.38823]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56791,51.38842],[0.56782,51.38804]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56782,51.38804],[0.56773,51.3879]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.56764,51.38808],[0.56782,51.38804]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5569,51.38572],[0.55717,51.38581]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55452,51.38513],[0.55466,51.38551]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55508,51.3855],[0.55492,51.38506]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5555,51.38496],[0.55556,51.38508]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.5524,51.38549],[0.55252,51.38582]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.55012,51.38588],[0.55002,51.38564]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54971,51.38543],[0.54977,51.38556]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54977,51.38556],[0.54986,51.38555]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.54977,51.38556],[0.54971,51.38557]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.53652,51.36995],[0.53659,51.36973]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.53659,51.36973],[0.53648,51.36939]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.53659,51.36973],[0.53714,51.36972]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.52719,51.36468],[0.52734,51.36387]]}"
Seaside Avenue,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.80649,51.43012],[0.80705,51.43115]]}"
Southsea Avenue,Medway,9.6,"{""type"":""LineString"",""coordinates"":[[0.80649,51.43012],[0.81078,51.42812]]}"
,Medway,0,"{""type"":""LineString"",""coordinates"":[[0.80731,51.43105],[0.80705,51.43115]]}"
,Medway,3,"{""type"":""LineString"",""coordinates"":[[0.80754,51.43112],[0.81417,51.42862]]}"
